type_approval,country,source,confidence,evidence,generation,item,ta_pdf,issuer_prefix,issuer_authority,issuer_country,issuer_check,issuer_expected,issuer_table_source,issuer_note,issuer_authority_raw
e2-44,Malta,JRC-Kartenname,belegt,Card - Carte Tachygraphique G2 x Malta JRC_DTLab/30-128/50-140/2020,G2.1,Card - Carte Tachygraphique G2 x Malta JRC_DTLab/30-128/50-140/2020,,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e1-0001-03,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G1,M1N1-Adapter N/A,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e1-0001-03.pdf,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg
e1-0009-03,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,Paper - Tacho Simple N/A,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e1-0009-03.pdf,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg
e1-0008-03,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,Paper - TACHO N/A,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e1-0008-03.pdf,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg
e1-84-05,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G2.1,VU - DTC1381 JRC_DTLab/A1-139/2021,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e1-84-05.pdf,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg
e1-201-05,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G1,Paper - TPD.A and TPD.B N/A,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e1-201-05.pdf,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg EWG - BAUARTGENEHMIGUNG (EWG-BG) EEC - Component type
e1-213-01,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G1,Paper - TPA.125U N/A,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e1-213-01.pdf,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg EWG – BAUARTGENEHMIGUNG (EWG-BG) EEC - Component type
e1-223-02,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G1,Paper - TPD.E N/A,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e1-223-02.pdf,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg EWG - BAUARTGENEHMIGUNG (EWG-BG) EEC - Component type
e1-229-02,Germany,Ausstellerbehoerde,Annahme,KBA - Kraftfahrt-Bundesamt,G1,Paper - TPA.125K N/A,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e1-229-02.pdf,Germany,KBA - Kraftfahrt-Bundesamt,Germany,bestaetigt,KBA - Kraftfahrt-Bundesamt,Bescheid,,Kraftfahrt-Bundesamt DE-24932 Flensburg EWG – BAUARTGENEHMIGUNG (EWG-BG) EEC - Component type
e5-0201-05,Sweden,Ausstellerbehoerde,Annahme,Transportstyrelsen - Swedish Transport Agency,G2.1,DSRC Module Version 900620B N/A,https://dtc.jrc.ec.europa.eu/PDF_OtherCertificates/e5-0201-05.pdf,Sweden,Transportstyrelsen - Swedish Transport Agency,Sweden,bestaetigt,Transportstyrelsen - Swedish Transport Agency,Bescheid,,TSV 2021-1304 Ert datum/Your date Er beteckning/Your ID 2021-02-18 1221 015-990199 01 Till: (To:) Stoneridge Electronics
